origin,orig_region,destination,dest_region,"1990","1995","2000","2005","2010","2015","2020",1990.1,1995.1,2000.1,2005.1,2010.1,2015.1,2020.1,1990.2,1995.2,2000.2,2005.2,2010.2,2015.2,2020.2,dest_subregion,orig_subregion
Argentina,Latin America and the Caribbean,"Bonaire, Sint Eustatius and Saba",Latin America and the Caribbean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Caribbean,South America
Peru,Latin America and the Caribbean,Colombia,Latin America and the Caribbean,2896,3342,3788,4026,4575,5144,5680,1604,1889,2175,2344,2706,3090,3442,1292,1453,1613,1682,1869,2054,2238,South America,South America
Peru,Latin America and the Caribbean,Venezuela,Latin America and the Caribbean,29635,32973,36348,39846,44126,47007,44319,16669,18421,20145,22265,24873,26206,24398,12966,14552,16203,17581,19253,20801,19921,South America,South America
Peru,Latin America and the Caribbean,Argentina,Latin America and the Caribbean,16366,50888,85411,127351,169262,195320,197226,9721,22702,35684,56276,76864,88634,90168,6645,28186,49727,71075,92398,106686,107058,South America,South America
Peru,Latin America and the Caribbean,Chile,Latin America and the Caribbean,7052,21265,35460,80085,124672,150885,240273,3583,8382,13862,32215,50564,63463,112709,3469,12883,21598,47870,74108,87422,127564,South America,South America
Peru,Latin America and the Caribbean,Dominican Republic,Latin America and the Caribbean,1991,2212,2432,1897,1360,1428,1489,1202,1314,1426,1128,828,870,906,789,898,1006,769,532,558,583,Caribbean,South America
Peru,Latin America and the Caribbean,Ecuador,Latin America and the Caribbean,2567,4125,5682,6798,10826,13705,14331,1307,2334,3360,4079,6384,8045,9086,1260,1791,2322,2719,4442,5660,5245,South America,South America
Peru,Latin America and the Caribbean,Costa Rica,Latin America and the Caribbean,2225,2045,2887,1893,3730,3783,4540,1186,1092,1505,975,1925,1941,2440,1039,953,1382,918,1805,1842,2100,Central America,South America
Peru,Latin America and the Caribbean,Brazil,Latin America and the Caribbean,5716,8278,10840,12958,14892,17555,19074,3394,5042,6690,7925,9042,10610,11718,2322,3236,4150,5033,5850,6945,7356,South America,South America
Peru,Latin America and the Caribbean,Panama,Latin America and the Caribbean,1781,2170,2697,2888,3666,4290,5155,1052,1266,1555,1630,2061,2407,2975,729,904,1142,1258,1605,1883,2180,Central America,South America
